ATCOCode,Easting,Northing,Lon,Lat,CommonName,Identifier,Direction,Street,Landmark,NatGazID,NatGazLocality,StopType,"Stop type, name",Icon colour
1290BOA05342,414588,91574,-1.7947,50.7236,St Catherines Road,,N,Belle Vue Road,,E0035387,Southbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05343,414663,91795,-1.79363,50.72558,Belle Vue Crescent,,N,Belle Vue Road,,E0035387,Southbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05711,412621,93894,-1.82249,50.74451,Littledown Centre,,NE,Chaseside,,E0035378,Littledown (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05736,408424,90803,-1.88205,50.71678,Kerley Road,opp,W,Priory Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOA05737,408455,90801,-1.88161,50.71677,Beacon Road,,E,Priory Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOA05738,407690,91420,-1.89243,50.72234,Midland Hotel,,N,Queens Road,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05784,408396,91109,-1.88244,50.71954,Terrace Road,,E,Terrace Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOA05819,408683,91150,-1.87837,50.7199,Gervis Place,Stand P,SE,Gervis Place,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOA05821,411542,91845,-1.83785,50.7261,Hawkwood Road Car Park,,W,Hawkwood Road,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05841,411675,92010,-1.83596,50.72758,Ashley Road,,E,Christchurch Road,,E0035366,Boscombe (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05842,409668,91384,-1.86441,50.72199,Lansdowne (unilinx),,W,Christchurch Road,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05874,408610,93478,-1.87935,50.74084,Winton Banks,,N,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05875,409019,91445,-1.8736,50.72255,Horseshoe Common,,E,Old Christchurch Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOA05876,408889,91300,-1.87545,50.72125,Burlington Arcade,,NE,St Peters Road,,E0057149,Bournemouth,BCT,Bus/coach stop,small_red
1290BOA05882,408598,93309,-1.87952,50.73932,Winton Banks,,S,Wimborne Road,,E0035402,Winton (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05900,412743,94034,-1.82076,50.74576,The Royal Bournemouth Hospital,,NE,Castle Lane,,E0035378,Littledown (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05917,409562,91452,-1.86591,50.7226,Lansdowne,,NE,Holdenhurst Road,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05936,408073,91116,-1.88701,50.7196,Poole Hill,,W,Poole Hill,,N0073122,West Cliff (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA05968,410449,94692,-1.85325,50.75172,Bournemouth School For Girls,,NW,Castle Gate Close,,E0035367,Charminster (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56550,409578,91710,-1.86568,50.72492,Purbeck House,opposite,NE,Oxford Road,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56551,409528,91605,-1.86639,50.72398,Purbeck House,outside,SW,Oxford Road,,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56561,408048,96865,-1.88724,50.7713,Kinson Park Road,,NW,New Road,,E0035382,Northbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56562,408189,94861,-1.88529,50.75328,Redhill Drive,opp 189,SW,Redhill Drive,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56563,408631,95717,-1.879,50.76097,Pine Vale Crescent,,SW,Redhill Drive,,E0035386,Redhill (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56568,412209,93262,-1.82835,50.73883,Avonbourne School,,SW,School Grounds,Avonbourne School,E0035378,Littledown (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56569,409437,91719,-1.86767,50.72501,Cranborne House,,N,Lansdowne Road,Cranborne House,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOA56570,409464,91670,-1.86729,50.72456,Cranborne House,,S,Lansdowne Road,Cranborne House,N0077769,Lansdowne (Bournemouth),BCT,Bus/coach stop,small_red
